ID tce k1_i k2_i m1_i m2_i r1_i r2_i mc1_i mc2_i rc1_i rc2_i sma_i ecc_i  k1_f k2_f m1_f m2_f r1_f r2_f sma_f  remark
     194    26.1318   4  2   9.954  10.035 5.44e+02 1.47e+02   2.223   2.196 4.10e-01 4.08e-01 3.19e+01 0.00e+00    7  7   2.223   2.196 4.10e-01 4.08e-01 1.09e+00   Others
     195     9.6227  14  4   8.468  37.398 0.00e+00 3.02e+03   0.000  15.211 0.00e+00 5.72e+00 1.04e+05 9.74e-01   14  7   8.468  15.211 0.00e+00 5.72e+00 2.33e+02   Others
     200    11.8319   5  1  17.097  16.452 1.46e+03 1.01e+01   6.976   0.000 1.14e+02 0.00e+00 3.83e+03 5.74e-01    8  1   6.976  16.452 1.14e+02 1.01e+01 3.70e+02   Others
     208    25.1236   5  4  10.599  10.653 1.32e+03 1.01e+02   3.701   3.482 2.98e+00 2.20e-01 3.49e+03 1.27e-02    8  7   3.701   3.482 2.98e+00 2.20e-01 7.75e+00   MergerOf13-13
     215    26.7869   5  4  10.245   9.907 6.42e+02 6.26e+01   3.522   2.473 1.36e+00 1.15e-01 1.68e+03 6.94e-02    8  7   3.522   2.473 1.36e+00 1.15e-01 3.32e+00   Others
     216     4.2600   4  1  55.370  15.550 1.46e+03 4.57e+00  22.273   0.000 2.58e+02 0.00e+00 3.06e+02 6.15e-01    7  1  22.273  15.550 2.58e+02 4.57e+00 6.50e+01   Others
     219    11.0365  14  4   6.785  34.382 0.00e+00 6.64e+02   0.000  12.818 0.00e+00 5.04e+00 4.17e+03 8.47e-01   14  7   6.785  12.818 0.00e+00 5.04e+00 3.80e+01   Others
     220     6.4724   4  1  30.506  18.659 1.41e+03 0.00e+00  11.519   0.000 6.91e+00 0.00e+00 4.17e+04 9.66e-01    7  1  11.519  18.659 6.91e+00 0.00e+00 2.55e+02   Others
     222    13.0780   4  1  16.643  14.368 4.33e+02 7.29e+00   5.796   0.000 1.72e+01 0.00e+00 1.66e+03 7.49e-01    7  1   5.796  14.368 1.72e+01 7.29e+00 8.52e+01   Others
     232     7.1758   4  1  27.499  10.548 1.28e+03 3.56e+00  10.244   0.000 2.40e+01 0.00e+00 5.95e+03 7.84e-01    7  1  10.244  10.548 2.40e+01 3.56e+00 1.37e+02   Others
     233     9.7053  14  4   9.108  40.905 0.00e+00 4.18e+02   0.000  14.751 0.00e+00 3.14e+01 2.15e+02 1.17e-01   14  7   9.108  14.751 0.00e+00 3.14e+01 1.96e+01   MergerOf14-14
     237     8.8807  14  4   7.351  44.732 0.00e+00 6.00e+02   0.000  16.622 0.00e+00 2.89e+01 4.30e+02 4.74e-01   14  7   7.351  16.622 0.00e+00 2.89e+01 2.46e+01   Others
     238    16.6406   5  1  12.729  11.391 2.01e+03 5.72e+00   5.137   0.000 1.47e+02 0.00e+00 5.17e+03 4.49e-02    8  1   5.137  11.391 1.47e+02 5.72e+00 4.71e+02   Others
     243    10.1470  14  4  10.039  37.500 0.00e+00 2.95e+02   0.000  13.099 0.00e+00 3.23e+01 9.70e+01 1.19e-01   14  7  10.039  13.099 0.00e+00 3.23e+01 1.30e+01   MergerOf14-14
     247    21.8985   4  4  11.694  11.692 2.83e+02 2.37e+02   3.962   3.938 1.16e+00 9.67e-01 2.62e+03 8.16e-01    7  7   3.962   3.938 1.16e+00 9.67e-01 1.07e+01   MergerOf13-13
     253    12.6068  13  4   1.700  32.526 0.00e+00 1.70e+02   0.000  10.811 0.00e+00 4.32e+00 6.87e+01 2.55e-01   13  7   1.700  10.811 0.00e+00 4.32e+00 2.02e+00   Others
     254    21.6661   4  1  11.751  10.688 7.07e+02 7.27e+00   4.103   0.000 3.84e+01 0.00e+00 1.96e+03 6.45e-01    7  1   4.103  10.688 3.84e+01 7.27e+00 1.38e+02   Others
     256     5.0756   4  4  40.986  41.323 6.20e+02 4.65e+02  15.642  15.294 7.80e+00 5.77e+00 2.18e+03 5.21e-01    7  7  15.642  15.294 7.80e+00 5.77e+00 2.73e+01   Others
     257    20.7913   2  1  11.542  10.546 1.09e+02 6.15e+00   2.658   0.000 1.37e+00 0.00e+00 7.53e+02 9.21e-01    7  1   2.658  10.546 1.37e+00 6.15e+00 1.37e+01   Others
     259    15.1611   4  1  14.873  10.512 1.01e+02 4.29e+00   4.778   0.000 2.07e-01 0.00e+00 6.14e+03 9.83e-01    7  1   4.778  10.512 2.07e-01 4.29e+00 1.65e+01   Others
     261    18.5716   4  1  12.982  11.251 2.55e+02 6.16e+00   4.354   0.000 1.04e+01 0.00e+00 8.84e+02 7.07e-01    7  1   4.354  11.251 1.04e+01 6.16e+00 4.70e+01   Others
     266    15.9768   4  1  14.386  12.157 5.44e+02 6.74e+00   5.027   0.000 7.99e+00 0.00e+00 6.17e+03 9.13e-01    7  1   5.027  12.157 7.99e+00 6.74e+00 1.17e+02   Others
     268    24.0112   3  1  10.526  10.510 4.09e+02 7.79e+00   2.353   0.000 1.69e+01 0.00e+00 7.09e+02 9.44e-02    7  1   2.353  10.510 1.69e+01 7.79e+00 4.29e+01   Others
     268    24.0556   7  2   2.353  10.510 3.79e-01 4.28e+01   0.000   2.323 0.00e+00 8.77e-01 4.29e+01 0.00e+00    7  7   2.353   2.323 3.79e-01 8.77e-01 1.19e+00   Others
     271     4.2607   4  1  54.971  14.412 2.14e+03 0.00e+00  22.527   0.000 3.11e+00 0.00e+00 1.13e+05 9.84e-01    7  1  22.527  14.412 3.11e+00 0.00e+00 1.96e+02   Others
     279    16.9643   5  1  13.650  10.023 1.00e+03 4.35e+00   5.041   0.000 5.61e+01 0.00e+00 2.47e+03 3.65e-01    8  1   5.041  10.023 5.61e+01 4.35e+00 1.74e+02   Others
     281    23.9575   5  4  10.997  10.972 7.49e+02 1.11e+02   3.828   3.621 3.10e+00 4.49e-01 1.97e+03 2.95e-02    8  7   3.828   3.621 3.10e+00 4.49e-01 8.06e+00   Others
     287    17.3430   5  1  13.261  12.722 9.78e+02 7.85e+00   4.948   0.000 8.62e+01 0.00e+00 1.74e+03 5.31e-01    8  1   4.948  12.722 8.62e+01 7.85e+00 1.95e+02   MergerOf13-13
     287    20.0012  13  4   1.480  12.630 0.00e+00 7.49e+01   0.000   3.886 0.00e+00 1.83e-01 6.49e+02 8.87e-01   13  7   1.480   3.886 0.00e+00 1.83e-01 1.93e+00   MergerOf13-13
     289    10.3713   4  1  19.886  17.038 1.17e+02 8.65e+00   6.607   0.000 1.01e+00 0.00e+00 2.15e+03 9.45e-01    7  1   6.607  17.038 1.01e+00 8.65e+00 2.42e+01   Others
     303    13.3863   5  1  15.858  12.304 1.28e+03 5.68e+00   6.208   0.000 8.16e+01 0.00e+00 3.18e+03 5.49e-01    8  1   6.208  12.304 8.16e+01 5.68e+00 2.53e+02   Others
     310     7.4918  14  4   8.276  40.242 0.00e+00 1.38e+03   0.000   9.858 0.00e+00 7.86e+00 6.00e+03 7.97e-01   14  7   8.276   9.858 0.00e+00 7.86e+00 4.48e+01   Others
     313     4.0950   4  1  59.523  51.143 4.52e+03 2.19e+01  25.025   0.000 1.56e+02 0.00e+00 3.00e+04 8.52e-01    7  1  25.025  51.143 1.56e+02 2.19e+01 1.27e+03   Others
     317     5.5354  14  2  20.715  83.020 0.00e+00 2.50e+03   0.000  38.204 0.00e+00 3.70e+01 1.49e+04 8.59e-01   14  7  20.715  38.204 0.00e+00 3.70e+01 2.56e+02   Others
     322    26.1865   5  4  10.394  10.164 6.48e+02 3.59e+01   3.581   2.813 9.04e-01 4.53e-02 1.70e+03 3.66e-01    8  7   3.581   2.813 9.04e-01 4.53e-02 2.26e+00   Others
     324    24.6963   5  1  10.060  10.217 1.60e+03 8.05e+00   3.750   0.000 1.10e+02 0.00e+00 4.23e+03 2.86e-02    8  1   3.750  10.217 1.10e+02 8.05e+00 3.70e+02   Others
     325    23.6650   2  1  10.624  10.069 3.18e+02 0.00e+00   2.380   0.000 1.82e-01 0.00e+00 5.18e+04 9.95e-01    7  1   2.380  10.069 1.82e-01 0.00e+00 4.32e+01   Others
     325    25.8376   7  4   2.370  10.059 4.45e-01 5.52e+02   0.000   2.214 0.00e+00 5.89e+01 4.33e+01 0.00e+00    7  7   2.370   2.214 4.45e-01 5.89e+01 6.28e+00   Others
     325    27.2693   8  7   2.356   2.211 2.41e+00 4.01e-01   1.378   0.000 3.77e-01 0.00e+00 6.28e+00 0.00e+00   12  7   1.378   2.211 3.77e-01 4.01e-01 1.11e+00   Others
     327     6.6366   4  1  29.438  18.936 2.40e+03 6.38e+00  11.308   0.000 1.24e+02 0.00e+00 6.23e+03 6.62e-01    7  1  11.308  18.936 1.24e+02 6.38e+00 4.01e+02   Others
     332    27.6358   5  4   9.985  10.055 1.23e+03 5.37e+02   3.450   3.432 1.16e+01 5.07e+00 3.24e+03 6.56e-03    8  7   3.450   3.432 1.16e+01 5.07e+00 3.07e+01   Others
     337    11.7549  14  4   8.749  33.328 0.00e+00 1.87e+02   0.000  11.240 0.00e+00 8.78e+00 1.77e+02 7.50e-01   14  7   8.749  11.240 0.00e+00 8.78e+00 1.03e+01   MergerOf14-14
     345     4.2750   4  1  54.357  32.209 3.22e+03 6.98e+00  22.417   0.000 7.84e+01 0.00e+00 2.09e+04 8.76e-01    7  1  22.417  32.209 7.84e+01 6.98e+00 6.21e+02   Others
     347    15.3691   5  1  14.536  13.819 1.10e+03 9.71e+00   5.485   0.000 7.45e+01 0.00e+00 2.88e+03 3.53e-01    8  1   5.485  13.819 7.45e+01 9.71e+00 2.46e+02   Others
     348    25.7777   2  1  10.072  10.046 3.05e+02 7.63e+00   2.215   0.000 8.83e+00 0.00e+00 8.06e+02 8.02e-01    7  1   2.215  10.046 8.83e+00 7.63e+00 3.45e+01   Others
     349    25.4300   4  2   9.893  10.455 4.28e+02 1.05e+02   2.322   2.316 8.60e-01 8.59e-01 2.72e+02 6.27e-01    7  7   2.322   2.316 8.60e-01 8.59e-01 2.29e+00   Others
     352    25.5717   2  1  10.122  10.033 3.05e+02 8.33e+00   2.230   0.000 2.30e+00 0.00e+00 3.67e+03 9.73e-01    7  1   2.230  10.033 2.30e+00 8.33e+00 4.06e+01   Others
     352    25.9534   7  2   2.229  10.031 3.68e-01 3.60e+02   0.000   2.205 0.00e+00 3.26e+01 4.06e+01 0.00e+00    7  7   2.229   2.205 3.68e-01 3.26e+01 4.98e+00   Others
     358    13.5676   5  1  15.726  14.399 1.26e+03 8.45e+00   6.131   0.000 8.79e+01 0.00e+00 3.25e+03 5.18e-01    8  1   6.131  14.399 8.79e+01 8.45e+00 2.85e+02   Others
     360    21.9611   7  4   1.656  23.339 3.60e-01 1.17e+02   0.000   7.821 0.00e+00 1.04e+00 1.93e+02 0.00e+00    7  7   1.656   7.821 3.60e-01 1.04e+00 2.02e+00   Others
     361     7.6507  14  4  15.073  31.060 0.00e+00 2.79e+02   0.000  11.067 0.00e+00 3.89e+00 2.03e+03 8.70e-01   14  7  15.073  11.067 0.00e+00 3.89e+00 3.56e+01   Others
     367    24.6565   3  1  10.354   9.981 3.95e+02 7.26e+00   2.302   0.000 1.49e+01 0.00e+00 7.43e+02 1.10e-01    7  1   2.302   9.981 1.49e+01 7.26e+00 4.09e+01   Others
     368    12.3276   5  1  16.647  15.193 1.54e+03 7.39e+00   6.710   0.000 1.14e+02 0.00e+00 3.98e+03 7.42e-02    8  1   6.710  15.193 1.14e+02 7.39e+00 3.66e+02   Others
     373    21.3727   5  1  11.652  11.382 7.90e+02 8.32e+00   4.179   0.000 6.70e+01 0.00e+00 1.38e+03 5.31e-01    8  1   4.179  11.382 6.70e+01 8.32e+00 1.50e+02   Others
     374     8.6886   4  1  23.050  17.573 1.16e+03 5.87e+00   8.442   0.000 2.60e+01 0.00e+00 8.25e+03 8.66e-01    7  1   8.442  17.573 2.60e+01 5.87e+00 2.35e+02   Others
     375    17.6586  12  4   1.323  26.843 0.00e+00 2.19e+02   0.000   9.360 0.00e+00 1.55e+00 3.46e+02 0.00e+00   12  7   1.323   9.360 0.00e+00 1.55e+00 2.82e+00   Others
     378    10.9866   4  1  18.927  12.877 8.44e+01 5.45e+00   6.139   0.000 2.79e-01 0.00e+00 3.15e+03 9.72e-01    7  1   6.139  12.877 2.79e-01 5.45e+00 1.36e+01   Others
     382     8.9308  14  4   7.732  44.530 0.00e+00 6.21e+02   0.000  16.670 0.00e+00 4.15e+01 3.19e+02 3.68e-01   14  7   7.732  16.670 0.00e+00 4.15e+01 2.54e+01   Others
     383     7.8118   4  1  25.516  18.323 5.87e+02 6.61e+00   9.195   0.000 2.89e+01 0.00e+00 1.57e+03 6.47e-01    7  1   9.195  18.323 2.89e+01 6.61e+00 9.82e+01   Others
     383    11.6751  14  4   8.857  18.091 0.00e+00 1.01e+02   0.000   5.918 0.00e+00 9.44e-01 9.63e+02 8.96e-01   14  7   8.857   5.918 0.00e+00 9.44e-01 1.16e+01   Others
     388    21.2983  13  4   1.393  21.558 0.00e+00 2.18e+02   0.000   7.407 0.00e+00 3.62e-01 1.90e+03 8.91e-01   13  7   1.393   7.407 0.00e+00 3.62e-01 3.66e+00   Others
     401    15.5040   5  4  14.395  14.756 1.50e+03 5.94e+02   5.452   5.156 1.54e+01 5.88e+00 3.98e+03 1.45e-02    8  7   5.452   5.156 1.54e+01 5.88e+00 4.01e+01   Others
     405     8.0194  14  4   7.213  50.870 0.00e+00 1.04e+03   0.000  19.831 0.00e+00 1.19e+02 2.32e+02 1.51e-01   14  7   7.213  19.831 0.00e+00 1.19e+02 3.10e+01   Others
     407     4.6921   4  1  45.395  16.419 3.65e+03 4.23e+00  18.540   0.000 8.96e+01 0.00e+00 1.43e+04 8.03e-01    7  1  18.540  16.419 8.96e+01 4.23e+00 4.23e+02   Others
