mass1,radius1,vx1,vy1,vz1,x1,y1,z1,ax1,ay1,az1,mass2,radius2,vx2,vy2,vz2,x2,y2,z2,ax2,ay2,az2,time
7.72659656623814e+32,21509020612.77471,620732.1790783686,925734.6591380668,-35546.14538193233,2787057195268.9966,-4901608826052.931,-90005395755.42137, -0.15169989811508777,0.2896595125716901,0.01589323717779053,1.1933519999999997e+33,21509020612.77471,-1159356.5153454177,-1437085.2856367773,-2737.24795189735,-4899603699984.269,8397405373263.332,-1877255147.384667, 0.25750404932842996,-0.4448531329986562,-0.0029447972147582323, 342144.0
7.72659656623814e+32,21509020612.77471,618164.1809236684,930868.7794034842,-35509.866217473216,2797762306769.089,-4885570120167.225,-90618321713.35556, -0.1492030237965136,0.29877183242012556,-0.011244439181108826,1.1933519999999997e+33,21509020612.77471,-1154833.3840457976,-1444868.6130238858,-2789.0796986105142,-4919600289660.149,8372508625971.626,-1924979556.5468807, 0.2595714105104359,-0.44523427863456283,-0.0029805612652311813, 343872.0
7.72659656623814e+32,21509020612.77471,615499.4033878853,936100.2031612132,-35672.159425409496,2808422961511.8086,-4869442748388.461,-91233074185.16037, -0.1518816073961327,0.2976710971642845,-0.009312634691783825,1.1933519999999997e+33,21509020612.77471,-1150273.945916676,-1452658.5892176663,-2841.5620952550066,-4939519370871.274,8347478949549.492,-1973593986.1031349, 0.26165506994097393,-0.4456142679870328,-0.0030176328485562952, 345600.0
7.72659656623814e+32,21509020612.77471,613140.7480911289,940856.030980828,-35868.94285149292,2819038002995.54,-4853225738844.827,-91851105489.31317, -0.13922270094219286,0.3022875357373757,-0.014995370361547225,1.1933519999999997e+33,21509020612.77471,-1146139.1900758047,-1459675.2475000948,-2889.3559495148697,-4959360295297.806,8322316174619.439,-2023109903.685891, 0.2635421487954337,-0.4459570602897927,-0.003051128329243261, 347328.0
7.72659656623814e+32,21509020612.77471,610645.4753068464,946141.2918817337,-36089.13936839338,2829610183570.4004,-4836918424804.4,-92472889558.8717, -0.15091839379510727,0.3035773715259054,-0.015810832528924224,1.1933519999999997e+33,21509020612.77471,-1141510.0498354388,-1467477.8538310716,-2943.08171672325,-4979122415125.3955,8297020141205.254,-2073538623.4339647, 0.26565300754720306,-0.44633615074741345,-0.0030896627445559264, 349056.0
7.72659656623814e+32,21509020612.77471,608048.5521820019,951521.4454430754,-36306.97144390187,2840138248300.5864,-4820520060890.508,-93098932484.81104, -0.1432489978975267,0.30726287078631637,-0.001811129540467309,1.1933519999999997e+33,21509020612.77471,-1136843.8246613,-1475287.1112210946,-2997.488789941041,-4998805168787.017,8271590842112.701,-2124890753.567069, 0.26778063634175914,-0.44671693432785237,-0.0031290136314500385, 350784.0
7.72659656623814e+32,21509020612.77471,605606.447145343,956942.7432881949,-36409.09089813379,2850623587895.42,-4804029509240.581,-93727152505.39363, -0.14201492314399478,0.31476990163637,-0.007489859892808464,1.1933519999999997e+33,21509020612.77471,-1132140.238835116,-1483103.0215461622,-3052.572265208363,-5018407928448.108,8246028165097.596,-2177177805.648572, 0.26992507073258126,-0.44709826692258786,-0.00316625317837325, 352512.0
7.72659656623814e+32,21509020612.77471,603092.0016823866,962490.6823013747,-36447.73375148581,2861066645422.671,-4787445121994.342,-94356875309.03616, -0.14789729301240806,0.3155416783799604,0.0017590461336752178,1.1933519999999997e+33,21509020612.77471,-1127399.006655481,-1490925.6144392674,-3108.3225238822533,-5037930061535.287,8220331997717.12,-2230410985.2241526, 0.2720842248682902,-0.44747973830259097,-0.0032057006310965363, 354240.0
7.72659656623814e+32,21509020612.77471,600572.7965762662,968026.5221333645,-36439.783848035455,2871466326738.952,-4770766174765.382,-94986564264.5168, -0.1391440879948109,0.31585106590521445,0.0034332237159582233,1.1933519999999997e+33,21509020612.77471,-1122619.8474948285,-1498754.8903921258,-3164.774224742992,-5057370930851.723,8194502227318.222,-2284601873.5537415, 0.27426041652530314,-0.44786198376402586,-0.0032456331848486706, 355968.0
7.72659656623814e+32,21509020612.77471,598106.5298711578,973519.7103017701,-36417.96414225441,2881823835502.05,-4753993040492.908,-95615976024.39188, -0.14717123458395578,0.30971646881868525,0.000483073976166089,1.1933519999999997e+33,21509020612.77471,-1117802.4391190219,-1506590.8697194029,-3221.9173409767272,-5076729894231.523,8168538741083.387,-2339762234.3872137, 0.2764566697905917,-0.4482468474291483,-0.00328564346990404, 357696.0
7.72659656623814e+32,21509020612.77471,595594.0078264617,979092.0248065495,-36275.34807010577,2892138683652.61,-4737125855150.939,-96244326548.83661, -0.13897487109129908,0.31998229192885597,0.012125468849515045,1.1933519999999997e+33,21509020612.77471,-1112946.5197064322,-1514433.524703245,-3279.753174130892,-5096006304253.085,8142441425926.056,-2395903765.85684, 0.2786635930781114,-0.4486257186271967,-0.0033243618084926752, 359424.0
